Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
24,10,8.746,11.466,4.292,2.594,60.613,0.836,1.654,0.604,0.965,FALSE
24,11,9.988,12.269,4.486,2.835,74.489,0.834,1.583,0.632,0.968,FALSE
24,12,5.264,9.121,3.521,1.903,91.789,0.795,1.85,0.541,0.963,FALSE
24,13,17.618,18.644,6.379,3.517,79.013,0.637,1.814,0.551,0.895,TRUE
24,14,15.687,18.055,6.934,2.88,71.802,0.605,2.407,0.415,0.903,TRUE
25,1,12.865,13.372,4.382,3.738,170.729,0.904,1.172,0.853,0.975,FALSE
25,2,11.538,12.675,4.216,3.484,76.251,0.903,1.21,0.826,0.977,FALSE
25,3,5.556,8.94,3.191,2.217,110.602,0.874,1.44,0.695,0.965,FALSE
25,4,8.496,11.267,3.872,2.794,103.02,0.841,1.386,0.722,0.962,FALSE
25,5,9.067,11.818,4.447,2.596,33.864,0.816,1.713,0.584,0.966,FALSE
26,1,13.347,13.67,4.613,3.684,9.288,0.898,1.252,0.799,0.975,FALSE
26,2,8.543,11.083,3.714,2.929,173.45,0.874,1.268,0.789,0.966,FALSE
26,3,8.779,11.305,4.083,2.738,64.258,0.863,1.491,0.671,0.97,FALSE
26,4,9.362,12.034,4.618,2.581,143.781,0.812,1.789,0.559,0.968,FALSE
26,5,14.546,15.918,5.097,3.634,69.166,0.721,1.403,0.713,0.928,TRUE
27,1,9.189,11.289,3.728,3.138,92.019,0.906,1.188,0.842,0.973,FALSE
27,2,16.088,15.024,5.081,4.032,81.836,0.896,1.26,0.793,0.979,FALSE
27,3,12.671,13.356,4.433,3.639,24.187,0.893,1.218,0.821,0.974,FALSE
27,4,6.612,9.653,3.226,2.61,140.026,0.892,1.236,0.809,0.964,FALSE
27,5,7.841,10.531,3.62,2.758,38.465,0.888,1.312,0.762,0.968,FALSE
27,6,10.402,12.193,4.202,3.152,63.859,0.879,1.333,0.75,0.972,FALSE
27,7,7.651,10.525,3.801,2.563,147.475,0.868,1.483,0.674,0.968,FALSE
27,8,7.702,10.585,3.607,2.719,68.076,0.864,1.327,0.754,0.962,FALSE
27,9,11.686,13.042,4.718,3.154,108.821,0.863,1.496,0.669,0.976,FALSE
27,10,7.503,10.471,3.809,2.508,130.092,0.86,1.518,0.659,0.966,FALSE
27,11,8.137,11.213,4.207,2.463,110.595,0.813,1.708,0.585,0.966,FALSE
28,1,13,13.41,4.457,3.714,21.221,0.908,1.2,0.833,0.977,FALSE
28,2,13.697,13.8,4.515,3.862,150.769,0.904,1.169,0.855,0.977,FALSE
28,3,8.543,11.029,3.828,2.841,117.576,0.883,1.347,0.742,0.969,FALSE
28,4,11.597,12.881,4.511,3.273,89.261,0.878,1.378,0.726,0.974,FALSE
28,5,11.276,12.713,4.425,3.244,17.767,0.877,1.364,0.733,0.973,FALSE
28,6,8.315,11.013,4.009,2.641,80.528,0.861,1.518,0.659,0.971,FALSE
28,7,9.062,11.505,4.098,2.815,133.758,0.86,1.456,0.687,0.968,FALSE
28,8,13.089,15.223,5.557,2.999,119.027,0.71,1.853,0.54,0.941,TRUE
28,9,4.326,9.438,3.108,1.772,25.217,0.61,1.754,0.57,0.87,TRUE
28,10,11.407,15.972,6.414,2.264,97.875,0.562,2.833,0.353,0.897,TRUE
29,1,9.206,11.413,3.873,3.027,35.661,0.888,1.279,0.782,0.97,FALSE
29,2,8.762,11.283,4.001,2.788,50.625,0.865,1.435,0.697,0.968,FALSE
29,3,7.491,10.44,3.747,2.546,1.288,0.864,1.472,0.679,0.968,FALSE
29,4,10.161,12.285,4.45,2.907,65.794,0.846,1.531,0.653,0.97,FALSE
29,5,10.748,12.69,4.541,3.014,27.036,0.839,1.507,0.664,0.968,FALSE
29,6,7.415,10.646,4.005,2.357,5.9,0.822,1.699,0.589,0.966,FALSE
29,7,9.324,12.168,4.411,2.691,89.96,0.791,1.639,0.61,0.956,FALSE
29,8,18.116,19.532,6.923,3.332,13.589,0.597,2.078,0.481,0.882,TRUE
30,1,5.759,8.94,3.034,2.417,65.898,0.905,1.255,0.797,0.968,FALSE
30,2,16.621,15.223,4.973,4.256,92.421,0.901,1.168,0.856,0.977,FALSE
30,3,10.533,12.132,4.113,3.261,132.466,0.899,1.261,0.793,0.974,FALSE
30,4,9.062,11.403,4.08,2.828,12.735,0.876,1.443,0.693,0.973,FALSE
30,5,11.711,12.966,4.441,3.358,62.22,0.875,1.323,0.756,0.971,FALSE
30,6,4.55,8.151,2.705,2.142,162.883,0.861,1.263,0.792,0.954,FALSE
30,7,17.009,17.956,5.666,3.822,86.915,0.663,1.482,0.675,0.905,TRUE
30,8,23.047,23.32,7.759,3.782,162.649,0.533,2.052,0.487,0.834,TRUE
30,9,18.192,21.117,8.048,2.878,110.709,0.513,2.797,0.358,0.835,TRUE
1,1,6.392,9.422,3.195,2.547,26.301,0.905,1.254,0.797,0.97,FALSE
1,2,13.131,13.6,4.433,3.772,7.753,0.892,1.175,0.851,0.975,FALSE
1,3,8.636,11.045,3.785,2.905,116.852,0.89,1.303,0.768,0.969,FALSE
1,4,11.961,13.042,4.574,3.33,158.626,0.884,1.374,0.728,0.975,FALSE
1,5,12.02,13.226,4.58,3.341,101.708,0.863,1.371,0.73,0.972,FALSE
1,6,7.774,10.693,3.972,2.492,50.52,0.854,1.594,0.627,0.97,FALSE
1,7,6.333,9.675,3.48,2.317,36.343,0.85,1.502,0.666,0.962,FALSE
1,8,9.95,15.414,4.59,2.76,119.863,0.526,1.663,0.601,0.849,TRUE
1,9,11.838,16.875,6.813,2.212,19.261,0.522,3.079,0.325,0.872,TRUE
2,1,6.468,9.422,2.994,2.751,31.3,0.916,1.088,0.919,0.97,FALSE
2,2,6.151,9.254,2.82,2.777,109.315,0.903,1.015,0.985,0.962,FALSE
2,3,9.852,11.787,4.037,3.107,23.808,0.891,1.299,0.77,0.973,FALSE
2,4,4.563,8.052,2.67,2.176,176.142,0.884,1.227,0.815,0.954,FALSE
2,5,6.506,9.653,3.097,2.675,168.34,0.877,1.158,0.864,0.954,FALSE
2,6,8.877,11.305,3.885,2.909,176.44,0.873,1.335,0.749,0.968,FALSE
2,7,9.975,12.002,4.35,2.92,39.937,0.87,1.49,0.671,0.972,FALSE
2,8,11.378,12.843,4.516,3.208,161.728,0.867,1.408,0.71,0.973,FALSE
2,9,6.98,10.072,3.221,2.759,102.898,0.865,1.167,0.857,0.954,FALSE
2,10,6.092,9.444,3.214,2.414,13.583,0.858,1.331,0.751,0.959,FALSE
2,11,7.841,10.753,3.875,2.576,171.121,0.852,1.504,0.665,0.968,FALSE
2,12,9.122,11.641,4.033,2.88,20.564,0.846,1.4,0.714,0.963,FALSE
3,1,7.85,10.471,3.494,2.861,4.521,0.9,1.221,0.819,0.969,FALSE
3,2,11.133,12.506,4.191,3.382,22.173,0.894,1.239,0.807,0.973,FALSE
3,3,11.42,12.836,4.468,3.254,86.515,0.871,1.373,0.728,0.972,FALSE
3,4,10.254,12.285,4.473,2.919,7.481,0.854,1.532,0.653,0.972,FALSE
3,5,9.734,12.269,4.504,2.752,156.612,0.813,1.637,0.611,0.965,FALSE
3,6,12.117,14.894,4.743,3.252,163.583,0.686,1.458,0.686,0.906,TRUE
3,7,14.838,18.476,6.675,2.83,116.09,0.546,2.358,0.424,0.865,TRUE
3,8,10.229,15.468,5.879,2.215,79.443,0.537,2.654,0.377,0.87,TRUE
4,1,11.116,12.43,4.02,3.521,20.371,0.904,1.142,0.876,0.972,FALSE
4,2,6.887,9.859,3.364,2.607,91.583,0.89,1.29,0.775,0.962,FALSE
4,3,7.385,10.233,3.469,2.71,51.779,0.886,1.28,0.781,0.968,FALSE
4,4,8.505,11.013,3.744,2.892,102.271,0.881,1.295,0.772,0.964,FALSE
4,5,6.46,9.644,3.356,2.451,174.218,0.873,1.37,0.73,0.96,FALSE
4,6,8.889,11.321,3.964,2.855,55.35,0.872,1.389,0.72,0.967,FALSE
4,7,7.313,10.31,3.684,2.527,94.626,0.865,1.458,0.686,0.968,FALSE
4,8,8.923,11.441,4.09,2.778,98.228,0.857,1.473,0.679,0.969,FALSE
4,9,6.718,10.027,3.592,2.381,51.878,0.84,1.509,0.663,0.952,FALSE
4,10,16.583,16.165,5.181,4.075,83.582,0.797,1.272,0.786,0.948,TRUE
4,11,7.047,10.595,4.081,2.199,38.653,0.789,1.856,0.539,0.952,FALSE
4,12,11.42,13.986,5.653,2.572,142.546,0.734,2.198,0.455,0.954,FALSE
4,13,21.201,21.621,7.7,3.506,68.399,0.57,2.196,0.455,0.864,TRUE
5,1,4.495,8.036,2.939,1.948,179.747,0.875,1.509,0.663,0.963,FALSE
5,2,11.221,12.722,4.336,3.295,83.104,0.871,1.316,0.76,0.969,FALSE
5,3,8.796,11.305,3.966,2.824,67.155,0.865,1.405,0.712,0.968,FALSE
5,4,12.011,13.416,4.4,3.476,90.547,0.839,1.266,0.79,0.96,FALSE
6,1,10.123,11.971,4.007,3.217,102.267,0.888,1.246,0.803,0.971,FALSE
6,2,7.009,10.249,3.765,2.37,33.42,0.838,1.588,0.63,0.965,FALSE
6,3,11.213,16.976,6.676,2.138,30.009,0.489,3.122,0.32,0.838,TRUE
6,4,5.881,12.383,4.024,1.861,11.047,0.482,2.162,0.463,0.801,TRUE
7,1,8.619,10.991,3.49,3.144,16.206,0.897,1.11,0.901,0.966,FALSE
7,2,9.903,11.787,3.986,3.164,104.493,0.896,1.26,0.794,0.974,FALSE
7,3,9.806,11.787,4.056,3.078,40.186,0.887,1.318,0.759,0.972,FALSE
7,4,6.27,9.476,3.318,2.406,18.989,0.877,1.379,0.725,0.966,FALSE
7,5,7.968,10.693,3.814,2.66,47.149,0.876,1.434,0.697,0.969,FALSE
7,6,9.269,11.742,4.319,2.733,138.073,0.845,1.58,0.633,0.97,FALSE
7,7,10.359,13.816,4.915,2.683,129.72,0.682,1.832,0.546,0.912,TRUE
7,8,7.592,11.955,3.718,2.6,157.206,0.668,1.43,0.699,0.857,TRUE
7,9,18.269,18.92,7.189,3.236,125.086,0.641,2.222,0.45,0.904,TRUE
8,1,5.78,8.902,2.882,2.554,15.597,0.917,1.128,0.886,0.967,FALSE
8,2,9.396,11.543,3.746,3.193,50.039,0.886,1.173,0.852,0.967,FALSE
8,3,8.488,11.045,3.715,2.909,69.206,0.874,1.277,0.783,0.966,FALSE
8,4,8.936,11.343,3.741,3.041,107.824,0.873,1.23,0.813,0.964,FALSE
8,5,9.24,11.558,3.974,2.961,52.112,0.869,1.342,0.745,0.967,FALSE
8,6,7.461,10.7,4.049,2.346,97.997,0.819,1.726,0.579,0.963,FALSE
8,7,12.087,15.065,5.979,2.574,40.075,0.669,2.322,0.431,0.91,TRUE
9,1,13.351,13.87,4.742,3.585,172.905,0.872,1.323,0.756,0.972,FALSE
9,2,10.292,12.231,3.912,3.35,44.332,0.865,1.168,0.856,0.959,FALSE
9,3,8.475,11.489,4.144,2.604,114.765,0.807,1.591,0.628,0.949,FALSE
9,4,4.567,8.658,3.379,1.721,139.121,0.766,1.963,0.509,0.939,FALSE
9,5,16.794,16.64,5.855,3.652,47.457,0.762,1.603,0.624,0.946,TRUE
9,6,14.23,15.452,4.849,3.736,25.439,0.749,1.298,0.771,0.923,TRUE
9,7,10.406,14,4.782,2.77,71.854,0.667,1.726,0.579,0.902,TRUE
10,1,8.877,11.099,3.748,3.015,149.86,0.906,1.243,0.804,0.972,FALSE
10,2,8.606,10.953,3.57,3.069,74.294,0.901,1.163,0.86,0.968,FALSE
10,3,8.048,10.639,3.454,2.967,50.603,0.894,1.164,0.859,0.966,FALSE
10,4,8.623,11.023,3.721,2.951,130.855,0.892,1.261,0.793,0.966,FALSE
10,5,6.147,9.53,3.483,2.247,33.708,0.851,1.55,0.645,0.965,FALSE
10,6,4.631,8.373,3.036,1.942,107.396,0.83,1.564,0.639,0.958,FALSE
10,7,17.195,17.059,5.545,3.948,126.508,0.743,1.405,0.712,0.928,TRUE
10,8,12.223,14.542,5.208,2.988,76.262,0.726,1.743,0.574,0.945,TRUE
10,9,9.861,14.573,5.529,2.271,137.52,0.583,2.435,0.411,0.879,TRUE
10,10,18.429,21.643,7.789,3.013,27.081,0.494,2.585,0.387,0.845,TRUE
10,11,20.174,22.867,8.96,2.867,85.047,0.485,3.126,0.32,0.87,TRUE
10,12,10.782,17.122,6.401,2.145,66.886,0.462,2.984,0.335,0.818,TRUE
11,1,8.754,11.067,3.728,2.99,112.56,0.898,1.247,0.802,0.972,FALSE
11,2,7.064,10.011,3.486,2.58,71.52,0.886,1.351,0.74,0.967,FALSE
11,3,6.865,9.881,3.487,2.507,157.983,0.884,1.391,0.719,0.969,FALSE
11,4,8.834,11.305,3.861,2.913,70.697,0.869,1.326,0.754,0.965,FALSE
11,5,6.942,10.05,3.481,2.539,132.659,0.864,1.371,0.729,0.958,FALSE
11,6,5.083,8.648,3.127,2.07,96.821,0.854,1.511,0.662,0.964,FALSE
11,7,7.115,10.31,3.671,2.467,69.946,0.841,1.488,0.672,0.963,FALSE
11,8,10.799,12.868,4.351,3.16,43.037,0.82,1.377,0.726,0.951,FALSE
11,9,5.839,9.498,3.049,2.438,96.964,0.813,1.251,0.8,0.937,FALSE
11,10,7.111,10.883,3.347,2.705,162.66,0.754,1.237,0.808,0.928,TRUE
11,11,12.311,16.019,4.696,3.338,88.628,0.603,1.407,0.711,0.891,TRUE
11,12,5.661,11.289,2.925,2.464,39.1,0.558,1.187,0.843,0.825,TRUE
11,13,12.1,16.999,6.505,2.368,40.978,0.526,2.747,0.364,0.848,TRUE
11,14,13.266,18.85,6.444,2.621,129.541,0.469,2.458,0.407,0.818,TRUE
11,15,12.109,18.492,5.806,2.655,118.341,0.445,2.186,0.457,0.806,TRUE
12,1,8.205,10.693,3.465,3.015,152.751,0.902,1.149,0.87,0.963,FALSE
12,2,9.299,11.397,3.881,3.051,151.035,0.9,1.272,0.786,0.973,FALSE
12,3,13.199,13.616,4.565,3.682,128.831,0.895,1.24,0.807,0.975,FALSE
12,4,9.574,11.619,3.665,3.326,164.001,0.891,1.102,0.907,0.968,FALSE
12,5,11.416,12.728,4.306,3.376,174.619,0.885,1.275,0.784,0.973,FALSE
12,6,8.125,10.807,3.784,2.734,112.479,0.874,1.384,0.723,0.969,FALSE
12,7,8.682,11.213,3.802,2.908,176.33,0.868,1.307,0.765,0.963,FALSE
12,8,9.852,12.025,4.211,2.979,20.422,0.856,1.414,0.707,0.967,FALSE
12,9,11.124,12.912,4.671,3.032,117.817,0.838,1.541,0.649,0.969,FALSE
12,10,8.382,11.419,3.817,2.796,95.71,0.808,1.365,0.733,0.943,FALSE
12,11,19.084,18.292,6.481,3.749,47.843,0.717,1.729,0.579,0.924,TRUE
12,12,17.736,18.476,6.938,3.255,168.874,0.653,2.132,0.469,0.91,TRUE
12,13,14.044,16.752,4.986,3.586,33.074,0.629,1.39,0.719,0.889,TRUE
12,14,9.155,13.562,4.483,2.6,153.362,0.625,1.724,0.58,0.893,TRUE
12,15,11.141,16.47,5.179,2.739,54.109,0.516,1.891,0.529,0.843,TRUE
12,16,14.225,19.202,7.214,2.511,19.402,0.485,2.873,0.348,0.822,TRUE
13,1,7.106,9.958,3.298,2.743,116.427,0.901,1.202,0.832,0.968,FALSE
13,2,8.969,11.229,3.789,3.014,1.078,0.894,1.257,0.795,0.971,FALSE
13,3,11.099,12.506,4.172,3.387,119.198,0.892,1.232,0.812,0.973,FALSE
13,4,10.49,12.186,4.049,3.299,61.429,0.888,1.227,0.815,0.968,FALSE
13,5,10.195,12.025,4.146,3.131,106.081,0.886,1.324,0.755,0.971,FALSE
13,6,7.123,10.065,3.492,2.597,121.464,0.884,1.345,0.744,0.967,FALSE
13,7,7.039,10.088,3.586,2.499,102.195,0.869,1.435,0.697,0.967,FALSE
13,8,6.312,9.644,3.441,2.336,163.464,0.853,1.473,0.679,0.962,FALSE
13,9,12.164,14.802,4.601,3.366,178.371,0.698,1.367,0.732,0.916,TRUE
13,10,18.091,18.391,6.011,3.832,102.698,0.672,1.569,0.637,0.918,TRUE
13,11,4.647,9.568,2.998,1.973,166.272,0.638,1.519,0.658,0.883,TRUE
14,1,7.144,9.881,3.182,2.859,76.617,0.919,1.113,0.898,0.97,FALSE
14,2,5.978,9.063,2.848,2.673,106.598,0.915,1.065,0.939,0.963,FALSE
14,3,12.109,13.026,4.439,3.473,174.759,0.897,1.278,0.782,0.976,FALSE
14,4,11.652,12.82,4.354,3.407,174.853,0.891,1.278,0.783,0.974,FALSE
14,5,8.86,11.251,3.861,2.922,91.478,0.88,1.321,0.757,0.969,FALSE
14,6,7.727,10.509,3.686,2.669,15.652,0.879,1.381,0.724,0.969,FALSE
14,7,8.196,10.845,3.692,2.827,9.736,0.876,1.306,0.766,0.968,FALSE
14,8,5.864,9.216,3.234,2.309,72.613,0.868,1.401,0.714,0.961,FALSE
14,9,8.019,10.807,3.787,2.696,78.481,0.863,1.405,0.712,0.968,FALSE
14,10,7.71,10.686,3.722,2.638,33.294,0.848,1.411,0.709,0.961,FALSE
14,11,10.144,12.367,4.374,2.953,1.184,0.833,1.481,0.675,0.961,FALSE
14,12,5.095,8.94,2.682,2.419,21.625,0.801,1.109,0.902,0.922,FALSE
14,13,8.467,12.636,4.221,2.554,174.316,0.666,1.653,0.605,0.892,TRUE
14,14,12.29,18.666,5.907,2.649,11.507,0.443,2.23,0.448,0.823,TRUE
15,1,5.902,8.94,2.824,2.661,10.075,0.928,1.061,0.942,0.97,FALSE
15,2,10.981,12.376,4.023,3.475,13.022,0.901,1.158,0.864,0.972,FALSE
15,3,8.239,10.915,3.734,2.81,46.597,0.869,1.329,0.752,0.962,FALSE
15,4,6.063,9.637,3.476,2.22,20.523,0.82,1.566,0.639,0.957,FALSE
15,5,8.243,11.251,4.028,2.605,17.317,0.818,1.546,0.647,0.956,FALSE
15,6,8.086,11.175,4.22,2.44,150.263,0.814,1.729,0.578,0.966,FALSE
15,7,6.899,10.493,4.051,2.168,111.344,0.787,1.868,0.535,0.965,FALSE
15,8,10.643,15.972,6.007,2.256,85.523,0.524,2.663,0.376,0.86,TRUE
16,1,7.368,10.195,3.56,2.636,135.561,0.891,1.351,0.74,0.972,FALSE
16,2,9.624,11.673,3.983,3.076,153.989,0.888,1.295,0.772,0.97,FALSE
16,3,8.577,11.09,3.828,2.853,96.565,0.876,1.342,0.745,0.97,FALSE
16,4,9.265,11.673,4.015,2.938,48.921,0.855,1.366,0.732,0.957,FALSE
16,5,6.447,9.767,3.153,2.604,49.225,0.849,1.211,0.826,0.95,FALSE
16,6,10.055,12.224,4.391,2.916,159.947,0.846,1.506,0.664,0.968,FALSE
16,7,24.167,22.249,8.393,3.666,172.112,0.613,2.289,0.437,0.893,TRUE
16,8,10.389,15.911,6.272,2.109,6.835,0.516,2.974,0.336,0.859,TRUE
17,1,8.239,10.753,3.71,2.827,169.74,0.895,1.312,0.762,0.972,FALSE
17,2,7.043,9.973,3.503,2.56,169.994,0.89,1.368,0.731,0.969,FALSE
17,3,9.438,11.565,4.011,2.996,162.385,0.887,1.339,0.747,0.972,FALSE
17,4,11.754,12.928,4.249,3.522,36.859,0.884,1.206,0.829,0.968,FALSE
17,5,7.909,10.639,3.656,2.755,158.98,0.878,1.327,0.754,0.966,FALSE
17,6,8.522,11.143,3.786,2.866,178.977,0.862,1.321,0.757,0.965,FALSE
17,7,4.352,7.983,2.909,1.905,99.913,0.858,1.527,0.655,0.961,FALSE
17,8,5.163,8.956,3.417,1.924,137.419,0.809,1.776,0.563,0.958,FALSE
17,9,4.512,9.52,2.599,2.21,149.117,0.626,1.176,0.85,0.824,TRUE
17,10,11.961,16.187,5.72,2.663,132.809,0.574,2.148,0.466,0.858,TRUE
17,11,14.365,19.738,7.714,2.371,10.163,0.463,3.253,0.307,0.853,TRUE
18,1,7.47,10.233,3.493,2.723,12.185,0.896,1.283,0.78,0.97,FALSE
18,2,6.388,9.476,3.165,2.57,163.907,0.894,1.232,0.812,0.966,FALSE
18,3,6.798,9.79,3.365,2.572,38.577,0.891,1.308,0.764,0.969,FALSE
18,4,9.882,11.856,3.981,3.161,161.116,0.883,1.26,0.794,0.968,FALSE
18,5,5.467,8.902,3.135,2.22,36.328,0.867,1.412,0.708,0.961,FALSE
18,6,5.657,9.14,3.404,2.116,132.42,0.851,1.609,0.622,0.966,FALSE
18,7,8.623,11.419,3.858,2.846,152.256,0.831,1.355,0.738,0.957,FALSE
18,8,9.899,12.361,4.591,2.745,68.511,0.814,1.673,0.598,0.969,FALSE
18,9,10.554,13.762,4.621,2.908,117.491,0.7,1.589,0.629,0.912,TRUE
18,10,14.589,17.519,6.004,3.094,122.196,0.597,1.94,0.515,0.876,TRUE
18,11,12.104,16.317,5.979,2.578,176.081,0.571,2.319,0.431,0.88,TRUE
19,1,7.694,10.401,3.538,2.768,101.203,0.894,1.278,0.782,0.97,FALSE
19,2,6.151,9.308,3.205,2.444,61.554,0.892,1.311,0.763,0.965,FALSE
19,3,5.133,8.512,2.964,2.205,24.346,0.89,1.344,0.744,0.962,FALSE
19,4,7.694,10.639,3.826,2.56,116.509,0.854,1.494,0.669,0.968,FALSE
19,5,6.849,10.05,3.259,2.675,15.165,0.852,1.218,0.821,0.953,FALSE
19,6,4.216,8.166,2.753,1.95,43.604,0.794,1.412,0.708,0.917,FALSE
19,7,10.533,14.158,4.665,2.875,146.052,0.66,1.623,0.616,0.898,TRUE
19,8,10.106,14.656,4.841,2.658,133.473,0.591,1.821,0.549,0.876,TRUE
19,9,11.479,16.869,6.631,2.204,130.865,0.507,3.009,0.332,0.86,TRUE
19,10,14.787,19.808,7.597,2.478,157.29,0.474,3.065,0.326,0.846,TRUE
20,1,7.85,10.509,3.643,2.743,30.34,0.893,1.328,0.753,0.97,FALSE
20,2,5.209,8.579,3.039,2.182,172.574,0.889,1.393,0.718,0.971,FALSE
20,3,9.155,11.397,3.857,3.022,15.151,0.886,1.276,0.784,0.967,FALSE
20,4,10.216,12.116,4.13,3.149,148.645,0.874,1.311,0.762,0.969,FALSE
20,5,7.187,10.211,3.481,2.629,60.872,0.866,1.324,0.755,0.962,FALSE
20,6,7.609,10.547,3.705,2.615,69.124,0.86,1.417,0.706,0.966,FALSE
20,7,8.412,11.105,3.981,2.691,160.518,0.857,1.479,0.676,0.967,FALSE
20,8,10.478,12.506,4.553,2.93,152.012,0.842,1.554,0.644,0.971,FALSE
20,9,6.836,10.287,3.848,2.262,77.513,0.812,1.701,0.588,0.966,FALSE
20,10,15.311,17.909,6.291,3.099,114.777,0.6,2.03,0.493,0.886,TRUE
20,11,11.94,16.133,5.739,2.649,145.232,0.576,2.166,0.462,0.878,TRUE
20,12,14.403,18.131,6.564,2.794,139.835,0.551,2.35,0.426,0.858,TRUE
20,13,15.307,18.888,7.438,2.62,72.857,0.539,2.839,0.352,0.875,TRUE
21,1,6.143,9.124,2.811,2.783,50.388,0.927,1.01,0.99,0.971,FALSE
21,2,7.495,10.103,3.237,2.948,26.177,0.923,1.098,0.911,0.973,FALSE
21,3,11.124,12.376,3.909,3.623,156.714,0.913,1.079,0.927,0.976,FALSE
21,4,9.409,11.473,3.703,3.235,18.081,0.898,1.144,0.874,0.969,FALSE
21,5,6.194,9.346,3.036,2.598,110.913,0.891,1.169,0.856,0.963,FALSE
21,6,5.214,8.588,2.816,2.358,35.254,0.888,1.194,0.837,0.959,FALSE
21,7,7.529,10.379,3.577,2.68,54.7,0.878,1.334,0.749,0.966,FALSE
21,8,5.323,8.778,2.821,2.402,169.78,0.868,1.175,0.851,0.953,FALSE
21,9,6.008,9.346,3.454,2.215,61.984,0.864,1.56,0.641,0.969,FALSE
21,10,7.601,10.585,3.542,2.732,168.43,0.852,1.296,0.771,0.956,FALSE
21,11,9.333,11.796,4.359,2.726,42.422,0.843,1.599,0.625,0.969,FALSE
21,12,8.492,11.251,4.154,2.603,103.31,0.843,1.596,0.627,0.971,FALSE
21,13,8.982,12.123,4.138,2.764,132.212,0.768,1.497,0.668,0.943,FALSE
21,14,13.769,18.178,6.858,2.556,123.759,0.524,2.683,0.373,0.853,TRUE
